from,to
"Secretary of State for Foreign and Commonwealth Affairs, First Secretary of State",Foreign Secretary and First Secretary of State
Secretary of State for the Home Department,Home Secretary
Secretary of State for Housing Communities and Local Government,"Secretary of State for Housing, Communities and Local Government"
Secretary of State for International Development,Secretary of State for International Trade and President of the Board of Trade
"Leader of the House of Commons, Lord President of the Council",Lord President of the Council and Leader of the House of Commons
Parliamentary Secretary to the Treasury (Chief Whip),Parliamentary Secretary to the Treasury and Chief Whip
Paymaster General and Minister for the Cabinet Office,Paymaster General
Minister of State for Housing,"Minister of State (Housing, Communities and Local Government)"
Minister of State for Security,Minister of State (Home Office)
"Leader of the House of Lords, Lords Privy Seal",Leader of the House of Lords and Lord Privy Seal
